admin,biryr,han,sex,teasown,orch,cashcrop
320102,1962,1,.5,0,0,2.79
320102,1964,1,0,0,0,2.79
320102,1966,1,1,0,0,2.79
320102,1967,1,1,0,0,2.79
320102,1968,1,.75,0,0,2.79
320102,1970,1,1,0,0,2.79
320102,1971,1,0,0,0,2.79
320102,1985,1,.5,0,0,2.79
320102,1986,1,.5,0,0,2.79
320102,1987,1,0,0,0,2.79
320102,1988,1,0,0,0,2.79
320102,1989,1,0,0,0,2.79
320102,1990,1,0,0,0,2.79
320103,1962,1,.5,0,0,3.3
320103,1963,1,.555556,0,0,3.3
320103,1964,1,1,0,0,3.3
320103,1965,1,1,0,0,3.3
320103,1966,1,.666667,0,0,3.3
320103,1967,1,.75,0,0,3.3
320103,1968,1,1,0,0,3.3
320103,1969,1,1,0,0,3.3
320103,1970,1,1,0,0,3.3
320103,1971,1,.875,0,0,3.3
320103,1972,1,1,0,0,3.3
320103,1973,1,1,0,0,3.3
320103,1975,1,1,0,0,3.3
320103,1986,1,0,0,0,3.3
320103,1987,1,1,0,0,3.3
320103,1988,1,1,0,0,3.3
320103,1989,1,.666667,0,0,3.3
320103,1990,1,.5,0,0,3.3
320104,1962,1,1,0,0,1.88
320104,1965,1,.333333,0,0,1.88
320104,1966,1,.666667,0,0,1.88
320104,1969,1,.333333,0,0,1.88
320104,1976,1,0,0,0,1.88
320104,1977,1,1,0,0,1.88
320104,1979,1,0,0,0,1.88
320104,1983,1,1,0,0,1.88
320104,1984,1,1,0,0,1.88
320104,1985,1,.5,0,0,1.88
320104,1986,1,0,0,0,1.88
320104,1987,1,.333333,0,0,1.88
320104,1988,1,1,0,0,1.88
320104,1989,1,1,0,0,1.88
320104,1990,1,0,0,0,1.88
320105,1962,1,.333333,0,0,3.67
320105,1963,1,.5,0,0,3.67
320105,1964,1,1,0,0,3.67
320105,1965,1,.4,0,0,3.67
320105,1966,1,.333333,0,0,3.67
320105,1967,1,.666667,0,0,3.67
320105,1968,1,.888889,0,0,3.67
320105,1969,1,1,0,0,3.67
320105,1970,1,1,0,0,3.67
320105,1971,1,1,0,0,3.67
320105,1973,1,0,0,0,3.67
320105,1975,1,0,0,0,3.67
320105,1978,1,1,0,0,3.67
320105,1980,1,1,0,0,3.67
320105,1982,1,.5,0,0,3.67
320105,1985,1,1,0,0,3.67
320105,1986,1,.625,0,0,3.67
320105,1987,1,.2,0,0,3.67
320105,1988,1,.714286,0,0,3.67
320105,1989,1,.555556,0,0,3.67
320105,1990,1,.375,0,0,3.67
320106,1962,1,1,0,0,2
320106,1963,1,.5,0,0,2
320106,1964,1,.8,0,0,2
320106,1965,1,.5,0,0,2
320106,1966,1,.6,0,0,2
320106,1967,1,.875,0,0,2
320106,1968,1,1,0,0,2
320106,1969,1,.8,0,0,2
320106,1971,1,0,0,0,2
320106,1972,1,1,0,0,2
320106,1973,1,0,0,0,2
320106,1976,1,1,0,0,2
320106,1979,1,1,0,0,2
320106,1986,1,0,0,0,2
320106,1988,1,.333333,0,0,2
320106,1989,1,.666667,0,0,2
320106,1990,1,.5,0,0,2
320107,1962,1,0,0,0,1.85
320107,1963,1,.333333,0,0,1.85
320107,1964,1,0,0,0,1.85
320107,1965,1,.5,0,0,1.85
320107,1966,1,.5,0,0,1.85
320107,1967,1,0,0,0,1.85
320107,1968,1,1,0,0,1.85
320107,1969,1,1,0,0,1.85
320107,1973,1,0,0,0,1.85
320107,1979,1,1,0,0,1.85
320107,1984,1,1,0,0,1.85
320107,1986,1,.5,0,0,1.85
320107,1987,1,.428571,0,0,1.85
320107,1988,1,.571429,0,0,1.85
320107,1989,1,.5,0,0,1.85
320107,1990,.6666667,1,0,0,1.85
320111,1962,1,.551724,0,0,1.45
320111,1963,1,.62963,0,0,1.45
320111,1964,1,.46875,0,0,1.45
320111,1965,1,.431818,0,0,1.45
320111,1966,.9666666,.433333,0,0,1.45
320111,1967,1,.483871,0,0,1.45
